ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
EWC,fresh_breakout,73.0,60.29,58.57,2.94,9.0,6,1.77,0.0894,8,True,38.1,9.1,True,0.87,False,0.5,-3.86,False,True,113.27,6 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
MOAT,fresh_breakout,73.0,108.22,107.05,1.09,9.0,7,2.91,0.0146,11,True,75.4,13.9,True,0.6,False,-2.84,-6.37,False,True,57.25,7 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
JEPI,fresh_breakout,73.0,56.26,56.13,0.23,9.0,6,2.68,0.0257,7,True,52.4,9.1,True,1.08,False,-0.34,-2.82,False,True,253.88,6 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
XLF,fresh_breakout,72.0,56.87,54.31,4.71,9.0,4,2.9,0.0101,12,True,25.4,3.2,True,0.81,False,0.0,-2.95,False,True,1678.11,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
COPX,below_resistance,70.0,88.61,91.91,-3.59,9.0,4,2.52,0.0202,11,True,26.2,22.2,True,0.71,False,-3.98,-11.08,True,True,310.59,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression
XLE,extended_breakout,70.0,64.93,59.41,9.29,9.0,3,2.52,0.0282,5,True,31.3,31.3,True,1.01,False,2.2,-1.87,True,True,1672.26,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; breakout already extended; near/new 52-week high; healthy last complete week momentum
XOP,extended_breakout,70.0,195.47,180.5,8.29,9.0,3,0.96,0.0282,5,True,32.1,31.7,True,0.53,False,2.57,-1.39,True,True,511.88,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; breakout already extended; near/new 52-week high; healthy last complete week momentum
EWW,below_resistance,69.0,75.25,79.37,-5.19,,8,2.16,0.0153,9,True,18.7,3.6,True,,False,0.2,-6.48,False,True,82.28,8 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; below SMA50
RSP,fresh_breakout,69.0,213.17,204.56,4.21,9.0,4,3.21,0.104,8,True,65.9,3.6,True,0.63,False,-0.77,-4.6,False,True,1266.88,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
VIG,fresh_breakout,69.0,237.73,229.82,3.44,9.0,4,3.07,0.091,6,True,57.1,1.6,True,1.08,False,-0.43,-3.93,False,True,212.28,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
