ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
MSFT,below_resistance,0.0,384.36,521.86,-26.35,,4,3.49,-0.1202,12,False,69.8,69.8,False,,False,4.7,-30.25,False,False,18339.38,4 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50; healthy last complete week momentum
ISRG,below_resistance,0.0,411.55,581.44,-29.22,,3,0.51,-0.1633,10,False,48.0,18.3,True,,False,5.27,-31.85,False,False,1034.67,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; below SMA50; healthy last complete week momentum
PLTR,below_resistance,0.0,129.04,189.1,-31.76,,4,1.64,-0.143,12,False,77.4,63.9,False,,False,14.5,-37.82,False,False,5538.01,4 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50; very strong but possibly extended weekly momentum
CLF,below_resistance,0.0,9.4,15.02,-37.42,,3,3.79,-0.0297,7,False,100.0,52.4,False,,False,-0.9,-43.71,False,False,212.47,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50
ADBE,below_resistance,0.0,222.65,363.7,-38.78,,5,3.08,-0.1818,12,False,81.7,72.6,False,,False,8.38,-42.13,False,False,1861.32,5 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50; very strong but possibly extended weekly momentum
CRM,below_resistance,0.0,162.5,265.73,-38.85,,6,5.97,-0.2169,12,False,63.5,63.5,False,,False,4.89,-40.53,False,False,2651.34,6 separated pivot resistance touches; messy resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50; healthy last complete week momentum
NFLX,below_resistance,0.0,75.47,124.99,-39.62,,4,1.61,-0.184,12,False,69.8,52.0,False,,False,5.2,-41.48,False,False,3746.38,4 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50; healthy last complete week momentum
DKNG,below_resistance,0.0,26.29,44.85,-41.38,,3,2.1,-0.1423,12,False,63.9,43.7,False,,False,0.74,-46.1,True,False,342.11,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200
NKE,below_resistance,0.0,42.78,78.64,-45.6,,2,0.22,-0.1752,12,False,63.1,24.2,True,,False,8.2,-45.66,False,False,1259.07,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; recent volatility compression; below SMA200; below SMA50; very strong but possibly extended weekly momentum
NOW,below_resistance,0.0,108.84,210.84,-48.38,,2,0.61,-0.3459,12,False,68.7,67.1,False,,False,8.11,-48.22,True,False,2352.6,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; very strong but possibly extended weekly momentum
TEAM,below_resistance,0.0,90.71,178.48,-49.18,,2,1.97,-0.4305,11,False,48.4,48.4,False,,False,6.48,-59.25,True,False,370.18,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; healthy last complete week momentum
ZS,below_resistance,0.0,147.12,293.29,-49.84,,2,0.24,-0.4478,12,False,75.8,51.2,False,,False,11.39,-56.34,True,False,507.66,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; very strong but possibly extended weekly momentum
SMCI,below_resistance,0.0,28.24,62.36,-54.71,,1,0.0,-0.2524,12,False,54.4,54.4,False,,False,-11.13,-54.71,False,False,2258.24,only 1 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50
ORCL,below_resistance,0.0,144.22,323.75,-55.45,,2,1.96,-0.1612,12,False,92.5,80.6,False,,False,-5.56,-57.95,False,False,5697.27,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50
ARQQ,below_resistance,0.0,20.47,49.77,-58.87,,2,1.76,-0.4193,12,False,95.6,66.3,False,,False,-3.07,-66.98,True,False,35.58,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200
INTU,below_resistance,0.0,273.38,675.92,-59.55,,3,1.17,-0.375,12,False,48.0,48.0,False,,False,2.85,-66.03,False,False,1529.49,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; below SMA200; below SMA50; healthy last complete week momentum
ACHR,below_resistance,0.0,4.85,13.77,-64.78,,2,0.58,-0.2352,12,False,31.3,30.6,True,,False,2.26,-66.83,False,False,196.44,only 2 pivot resistance touch(es); flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; current volatility compression; below SMA200; below SMA50; healthy last complete week momentum
